node,value
0,0.112458
1,0.091437
2,1.000000
3,0.042372
4,0.073529
5,0.087138
6,0.140476
7,0.038405
8,0.038405
9,0.375000
10,0.024313
11,0.088624
12,0.300000
13,1.000000
14,0.105911
15,0.067734
16,0.055863
17,0.037879
18,0.109091
19,0.066999
20,1.000000
21,0.266667
22,1.000000
23,0.003058
24,0.050300
25,0.044872
26,0.333333
27,0.115385
28,0.038462
29,0.128788
30,0.128788
31,1.000000
32,0.095699
33,0.095699
34,0.095699
35,0.404762
36,0.058062
37,0.058062
38,0.143431
39,0.227273
40,0.227273
41,0.547619
42,0.547619
43,0.069444
44,0.233333
45,0.233333
46,0.106061
47,0.106061
48,0.181818
49,0.600000
50,0.043304
51,1.000000
52,0.110507
53,0.288889
54,0.038018
55,0.038018
56,0.097368
57,0.152778
58,0.079186
59,0.079186
60,0.062842
61,0.062842
62,0.062842
63,1.000000
64,1.000000
65,0.142857
66,0.096400
67,0.096400
68,0.096400
69,0.107143
70,0.041667
71,0.265152
72,0.265152
73,1.000000
74,1.000000
75,1.000000
76,0.300000
77,0.261905
78,0.285714
79,0.300000
80,0.058462
81,0.121951
82,0.180556
83,0.083333
84,1.000000
85,0.333333
86,0.233333
87,0.233333
88,0.233333
89,0.106061
90,0.106061
91,0.070267
92,0.333333
93,0.064636
94,0.198718
95,1.000000
96,1.000000
97,1.000000
98,0.090909
99,0.416667
100,0.218182
101,0.112319
102,0.063131
103,0.063131
104,0.062500
105,0.333333
106,0.100000
107,0.058333
108,0.096728
109,0.100000
110,0.090909
111,0.533333
112,0.533333
113,0.333333
114,0.375000
115,1.000000
116,0.333333
117,0.047619
118,0.333333
119,1.000000
120,0.083333
121,0.500000
122,0.131868
123,0.203297
124,0.203297
125,0.203297
126,0.203297
127,0.060797
128,0.060797
129,0.083333
130,0.250000
131,0.250000
132,0.166667
133,0.100000
134,0.070513
135,0.142857
136,0.111111
137,0.233333
138,0.049858
139,0.049858
140,0.049858
141,0.109231
142,0.109231
143,0.053030
144,0.053030
145,0.216856
146,0.216856
147,0.333333
148,0.333333
149,0.333333
150,0.219203
151,1.000000
152,0.166667
153,0.166667
154,0.166667
155,0.047059
156,0.133333
157,0.138889
158,0.138889
159,0.030450
160,0.111111
161,0.055258
162,0.055258
163,0.112500
164,0.047619
165,0.033333
166,0.033333
167,0.380952
168,0.380952
169,0.452381
170,0.452381
171,0.071429
172,0.093985
173,0.022222
174,0.166667
175,1.000000
176,0.077075
177,0.077075
178,0.281818
179,0.178571
180,0.066667
181,0.200000
182,0.057143
183,0.045455
184,0.045455
185,0.045455
186,0.045455
187,0.045455
188,0.045455
189,0.049451
190,0.032051
191,0.032051
192,0.032051
193,0.089286
194,0.100000
195,0.500000
196,0.125000
197,0.058824
198,0.133333
199,0.133333
200,0.281818
201,0.200000
202,0.200000
203,0.200000
204,0.333333
205,0.291667
206,0.044737
207,0.108974
208,0.108974
209,0.108974
210,0.108974
211,0.040476
212,0.010862
213,0.010862
214,0.010862
215,0.333333
216,0.107143
217,0.095238
218,1.000000
219,1.000000
220,0.350000
221,0.065789
222,0.065789
223,0.033333
224,0.250000
225,0.166667
226,0.166667
227,0.500000
228,0.075758
229,0.045567
230,0.070652
231,0.070652
232,0.133333
233,0.070153
234,0.070153
235,1.000000
236,0.300000
237,0.044421
238,0.044421
239,0.044421
240,0.071429
241,0.044444
242,0.300000
243,0.300000
244,0.300000
245,0.160714
246,0.160714
247,0.160714
248,0.160714
249,0.238095
250,0.238095
251,0.038333
252,0.266667
253,0.166667
254,0.166667
255,0.166667
256,0.166667
257,0.166667
258,0.166667
259,0.071439
260,0.266667
261,0.266667
262,0.266667
263,0.266667
264,0.185897
265,0.132143
266,0.236111
267,0.236111
268,0.083333
269,0.083333
270,0.083333
271,0.083333
272,0.083333
273,0.083333
274,0.166667
275,0.166667
276,0.233333
277,0.174242
278,0.174242
279,0.350000
280,0.053030
281,0.053030
282,0.266667
283,0.266667
284,0.166667
285,0.166667
286,0.166667
287,0.166667
288,0.166667
289,0.025000
290,0.025000
291,0.035714
292,0.035714
293,0.035714
294,0.035714
295,0.121693
296,0.121693
297,0.106307
298,0.106307
299,0.106307
300,0.416667
301,0.416667
302,0.095833
303,0.333333
304,0.333333
305,0.071429
306,0.071429
307,0.071429
308,1.000000
309,1.000000
310,1.000000
311,0.066667
312,0.135256
313,0.135256
314,0.135256
315,0.204545
316,0.144444
317,0.144444
318,0.333333
319,0.333333
320,0.026316
321,0.115385
322,0.115385
323,0.163636
324,0.163636
325,0.049708
326,0.049708
327,0.049708
328,0.055556
329,0.055556
330,0.055556
331,0.155556
332,0.333333
333,0.136364
334,0.137427
335,0.134058
336,0.083333
337,0.050000
338,0.084967
339,0.084967
340,0.035714
341,0.071429
342,0.071429
343,0.066667
