node,value
0,0.000000
1,0.013665
2,0.013665
3,0.600000
4,0.535714
5,0.111581
6,0.500000
7,0.494505
8,0.494505
9,0.036437
10,1.000000
11,0.800000
12,0.800000
13,0.285714
14,0.285714
15,0.333333
16,0.300000
17,0.300000
18,0.100000
19,0.100000
20,0.100000
21,0.500000
22,0.500000
23,0.500000
24,0.500000
25,0.500000
26,0.500000
27,0.155511
28,0.155511
29,0.155511
30,0.155511
31,0.155511
32,0.155511
33,0.155511
34,0.155511
35,0.155511
36,0.155511
37,0.155511
38,0.155511
39,0.045752
40,0.045752
41,0.045752
42,0.166667
43,0.166667
44,0.044444
45,0.146667
46,0.072716
47,0.072716
48,0.072716
49,0.644444
50,0.581818
51,0.581818
52,0.581818
53,0.123178
54,0.137449
55,0.266667
56,0.061531
57,0.061531
58,0.061531
59,0.018182
60,0.018182
61,0.018182
62,0.015152
63,0.015152
64,0.015152
65,0.015152
66,0.015152
67,0.015152
68,0.015152
69,0.133333
70,0.133333
71,0.033283
72,0.833333
73,0.074641
74,0.070581
75,0.104232
76,0.115484
77,0.058159
78,0.053866
79,0.033745
80,0.014547
81,0.152291
82,0.126225
83,0.027637
84,0.077326
85,0.023967
86,0.060606
87,0.038797
88,0.040511
89,0.038269
90,0.045152
91,0.043867
92,0.014959
93,0.014210
94,0.027478
95,0.045204
96,0.018432
97,0.030048
98,0.090106
99,0.050403
100,0.067756
101,0.050394
102,0.061054
103,0.046467
104,0.062910
105,0.022759
106,0.042587
107,0.030561
108,0.024577
109,0.028896
110,0.048502
111,0.070003
112,0.037084
113,0.047685
114,0.191608
115,0.044104
116,0.032862
117,0.049234
118,0.023376
119,0.010535
120,0.001894
121,0.023202
122,0.166667
123,0.010101
124,0.075000
125,0.091362
126,0.010582
127,0.010582
128,0.010582
129,0.066667
130,0.003361
131,0.076923
132,0.083333
133,0.083333
134,0.043712
135,0.042246
136,1.000000
137,0.095406
138,0.153951
139,0.134653
140,0.329710
141,0.076471
142,0.025530
143,0.054858
144,0.014353
145,0.106544
146,0.006723
147,0.033953
148,0.015410
149,0.007364
150,0.025352
151,0.026196
152,0.026196
153,0.000523
154,0.094017
155,0.048780
156,0.010955
157,0.022059
158,0.046154
159,0.046154
160,0.039526
161,0.039526
162,0.039526
163,0.039526
164,0.004252
165,0.064338
166,0.137524
167,0.024254
168,0.330882
169,0.169275
170,0.065005
171,1.000000
172,1.000000
173,0.046725
174,0.186583
175,0.092097
176,0.008710
177,0.022800
178,0.020000
179,1.000000
180,0.500000
181,0.069403
182,0.041504
183,0.119055
184,0.018493
185,0.068926
186,0.067148
187,0.059886
188,0.030412
189,0.097307
190,0.138298
191,0.011602
192,0.046458
193,0.073976
194,0.217874
195,0.044114
196,0.046282
197,0.016897
198,0.035847
199,0.200000
200,0.082170
201,0.063938
202,0.051330
203,0.042872
204,0.143012
205,0.017168
206,0.047824
207,0.056200
208,0.084831
209,0.072354
210,0.047406
211,0.109899
212,0.087062
213,0.093054
214,0.069321
215,0.144928
216,0.083004
217,0.104575
218,0.104575
219,0.500000
220,0.155556
221,0.117647
222,0.117647
223,0.053140
224,0.002739
225,0.032239
226,0.040109
227,0.023188
228,0.023188
229,0.023188
230,0.008403
231,0.049029
232,0.054131
233,0.039039
234,0.039039
235,0.039773
236,0.061812
237,0.027724
238,0.077618
239,0.077618
240,0.030122
241,0.073829
242,0.030571
243,0.079085
244,0.021097
245,0.022658
246,0.014558
247,0.085543
248,0.075644
249,0.115446
250,0.081481
251,0.120937
252,0.102832
253,0.039353
254,0.095238
255,0.079808
256,0.132175
257,0.582418
258,0.466667
259,0.377778
260,0.206897
261,0.031660
262,0.107539
263,0.104238
264,0.103080
265,0.083615
266,1.000000
267,0.075758
268,1.000000
269,0.222222
270,0.571429
