node,value
0,0.000000
1,0.002381
2,0.002381
3,0.003175
4,0.003175
5,0.003175
6,0.003175
7,0.003175
8,0.003175
9,0.003175
10,0.003175
11,0.003175
12,0.003175
13,0.003175
14,0.003175
15,0.003175
16,0.017857
17,0.017857
18,0.017857
19,0.017857
20,0.017857
21,0.017857
22,0.017857
23,0.017857
24,0.017857
25,0.017857
26,0.017857
27,0.017857
28,0.017857
29,0.017857
30,0.017857
31,0.017857
32,0.017857
33,0.017857
34,0.017857
35,0.017857
36,0.017857
37,0.007576
38,0.007576
39,0.007576
40,0.007576
41,0.007576
42,0.007576
43,0.007576
44,0.007576
45,0.007576
46,0.007576
47,0.007576
48,0.007576
49,0.007576
50,0.083333
51,0.083333
52,0.083333
53,0.083333
54,0.083333
55,0.083333
56,0.083333
57,0.083333
58,0.083333
59,0.083333
60,0.083333
61,0.083333
62,0.083333
63,0.083333
64,0.083333
65,0.083333
66,0.083333
67,0.003268
68,0.003268
69,0.003268
70,0.003268
71,0.003268
72,0.003268
73,0.003268
74,0.000581
75,0.000581
76,0.000581
77,0.000581
78,0.000581
79,0.000581
80,0.000581
81,0.000581
82,0.000581
83,0.000581
84,0.000581
85,0.000581
86,0.000581
87,0.000581
88,0.017857
89,0.017857
90,0.008772
91,0.008772
92,0.008772
93,0.008772
94,0.008772
95,0.008772
96,0.008772
97,0.008772
98,0.008772
99,0.008772
100,0.008772
101,0.008772
102,0.083333
103,0.083333
104,0.083333
105,0.083333
106,0.083333
107,0.083333
108,0.083333
109,0.083333
110,0.003676
111,0.002165
112,0.002165
113,0.002165
114,0.002165
115,0.002165
116,0.002165
117,0.002165
118,0.002165
119,0.002165
120,0.002165
121,0.002165
122,0.002165
123,0.002165
124,0.002165
125,0.002165
126,0.002165
127,0.002165
128,0.002165
129,0.002165
130,0.002165
131,0.002165
132,0.002165
133,0.002165
134,0.002165
135,0.002165
136,0.002165
137,0.002165
138,0.002165
139,0.002165
140,0.002165
141,0.002165
142,0.002165
143,0.002165
144,0.002165
145,0.002165
146,0.002165
147,0.002165
148,0.002165
149,0.002165
150,0.002165
151,0.002165
152,0.002165
153,0.002165
154,0.002165
155,0.002165
156,0.006410
157,0.006410
158,0.006410
159,0.006410
160,0.006410
161,0.006410
162,0.006410
163,0.006410
164,0.006410
165,0.006410
166,0.006410
167,0.006410
168,0.006410
169,0.006410
170,0.006410
171,0.006410
172,0.006410
173,0.006410
174,0.006410
175,0.006410
176,0.006410
177,0.006410
178,0.006410
