node,value
0,0.163333
1,0.355556
2,0.202299
3,1.000000
4,0.156863
5,0.159140
6,0.666667
7,0.272727
8,0.591917
9,0.153846
10,0.901960
11,1.000000
12,0.154412
13,0.108046
14,0.476190
15,1.000000
16,0.338167
17,0.155844
18,0.495640
19,0.178947
20,0.078078
21,0.055556
22,0.178947
23,0.342857
24,0.281756
25,0.240250
26,1.000000
27,0.173913
28,0.200000
29,1.000000
30,0.180952
31,0.428571
32,0.099865
33,0.358396
34,0.098901
35,0.277778
36,0.059701
37,0.476190
38,0.380952
39,0.304490
40,0.333333
41,0.115942
42,0.413288
43,0.333333
44,0.361111
45,1.000000
46,0.130719
47,0.100000
48,0.800000
49,0.212121
50,0.116667
51,0.190476
52,0.238095
53,0.100379
54,1.000000
55,0.178571
56,0.666667
57,1.000000
58,0.196970
59,1.000000
60,0.192308
61,0.238095
62,0.177778
63,0.169960
64,1.000000
65,0.161905
66,0.140351
67,0.063121
68,0.063121
69,0.500000
70,0.222222
71,0.714160
72,0.357143
73,0.392857
74,0.078629
75,1.000000
76,0.500000
77,0.500000
78,0.613741
79,0.607143
80,1.000000
81,0.095385
82,0.190476
83,0.724818
84,0.500000
85,0.190476
86,0.196970
87,0.192982
88,1.000000
89,1.000000
90,0.294872
91,0.200000
92,0.428571
93,0.141649
94,1.000000
95,1.000000
96,0.125541
97,0.600000
98,0.190476
99,0.666667
100,0.235294
101,0.235294
102,1.000000
103,0.647606
104,1.000000
105,0.171604
106,0.098814
107,0.380952
108,0.131579
109,0.333333
110,0.151515
111,0.152439
112,0.142105
113,0.133333
114,0.632184
115,0.152381
116,0.866667
117,0.142857
118,0.166667
119,0.190476
120,1.000000
121,0.190131
122,0.236364
123,1.000000
124,0.300000
125,0.163218
126,0.443077
127,0.666667
128,0.490909
129,0.532669
130,0.212121
131,1.000000
132,0.111111
133,0.416667
134,0.416667
135,1.000000
136,0.225949
137,0.285714
138,0.300000
139,0.303030
140,1.000000
141,1.000000
142,0.392857
143,0.088889
144,0.381818
145,0.130719
146,0.241758
147,0.318349
148,0.116923
149,0.116923
150,0.089744
151,0.177866
152,0.266638
153,0.377778
154,0.142857
155,0.157258
156,0.133333
157,0.187192
158,0.545455
159,0.158645
160,0.305556
161,0.200000
162,0.500000
163,0.333333
164,0.600000
165,1.000000
166,0.067194
167,0.129231
168,0.146245
169,0.102564
170,0.444444
171,0.392281
172,0.695413
173,0.140351
174,0.095238
175,1.000000
176,0.866667
177,0.696781
178,1.000000
179,0.294118
180,0.209150
181,0.611111
182,0.100529
183,0.151724
184,0.866667
185,0.428571
186,0.428571
187,0.326797
188,0.399471
189,0.571429
190,0.164835
191,0.666667
192,0.642857
193,0.861593
194,0.363636
195,0.096552
196,0.266667
197,0.173913
198,0.105413
199,0.205882
200,0.388889
201,0.266667
202,0.166667
203,0.678571
204,0.084967
205,0.166667
206,0.072874
207,0.124183
208,0.100806
209,0.380952
210,0.179487
211,0.186813
212,0.428571
213,0.099567
214,0.110000
215,0.118577
216,0.666667
217,0.652709
218,0.217949
219,1.000000
220,0.200000
221,0.363636
222,0.158333
223,0.250000
224,0.151515
225,0.135385
226,0.666667
227,0.333333
228,0.164835
229,0.052632
230,0.055336
231,1.000000
232,0.333333
233,0.163636
234,0.103448
235,0.290909
236,0.216667
237,0.228758
238,0.076923
239,0.076923
240,0.300000
241,0.152047
242,1.000000
243,0.400000
244,1.000000
245,0.177778
246,1.000000
247,1.000000
248,0.434483
249,1.000000
250,0.190476
251,0.666667
252,0.166667
253,1.000000
254,0.094737
255,0.522959
256,0.088670
257,0.606061
258,0.131868
259,0.666667
260,0.666667
261,0.538462
262,0.666667
263,0.333333
264,0.200000
265,0.600000
266,0.235294
267,0.866667
268,0.666667
269,0.273430
270,0.500000
271,0.200000
272,0.075099
273,0.257310
274,0.500000
275,0.500000
276,0.540789
277,0.212121
278,0.142857
279,0.083255
280,0.146667
281,0.176020
282,0.094862
283,0.095385
284,0.093939
285,0.138889
286,0.641967
287,0.959902
288,1.000000
289,0.303030
290,0.241758
291,0.427358
292,0.244459
293,0.437881
294,0.314567
295,0.220192
296,0.530273
297,0.336295
298,1.000000
299,0.096552
300,0.596638
301,0.396943
302,1.000000
303,0.974359
304,1.000000
305,1.000000
306,1.000000
307,1.000000
308,0.504777
309,0.839782
310,0.437551
311,0.200000
312,1.000000
313,1.000000
314,0.501054
315,1.000000
316,1.000000
317,1.000000
318,0.346180
319,1.000000
320,0.244444
321,1.000000
322,1.000000
323,0.392857
324,1.000000
325,1.000000
326,0.390283
327,0.386446
328,0.340982
329,0.334624
330,0.443280
331,0.548517
332,1.000000
333,0.767041
334,1.000000
335,0.405660
336,0.584986
337,1.000000
338,0.205688
339,0.721620
340,0.104762
341,1.000000
342,1.000000
343,0.473879
344,1.000000
345,0.815283
346,1.000000
347,0.181818
348,1.000000
349,0.749064
350,1.000000
351,0.383959
352,0.855709
353,0.400000
354,1.000000
355,1.000000
356,0.546956
357,0.420172
358,0.314900
359,1.000000
360,1.000000
361,0.333333
362,1.000000
363,0.309107
364,1.000000
365,1.000000
366,0.904938
367,0.725031
368,1.000000
369,1.000000
370,0.685427
371,0.396685
372,0.478232
373,0.750062
374,1.000000
375,1.000000
376,0.545785
377,0.390239
378,0.678163
379,0.272075
380,1.000000
381,0.197802
382,1.000000
383,0.975761
384,0.859223
385,0.576639
386,1.000035
387,1.000035
388,0.684758
389,0.409734
390,0.413502
391,0.388907
392,0.773028
393,0.658154
394,0.750625
395,0.597203
396,1.000035
397,0.791062
398,1.000035
399,0.991702
400,0.808904
401,0.978216
402,0.945099
403,0.847056
404,0.497160
405,0.423465
406,0.503572
407,0.731875
408,0.708566
409,0.325926
410,0.631153
411,0.635767
412,0.991772
413,1.000035
414,1.000035
415,1.000035
416,0.914853
417,1.000035
418,0.483210
419,0.595043
420,1.000035
421,1.000000
422,0.702027
423,0.413043
424,1.000035
425,0.487562
426,1.000035
427,0.822860
428,0.825252
429,0.921999
430,0.866605
431,1.000035
432,0.624965
433,1.000035
434,0.538896
435,0.603952
436,1.000035
437,0.586541
438,0.586409
439,1.000035
440,0.373101
441,0.629074
442,0.883041
443,0.907084
444,0.705510
445,0.792987
446,1.000035
447,1.000035
448,1.000035
449,0.657347
450,0.586647
451,0.586647
452,0.960140
453,0.708357
454,1.000000
455,0.987901
456,1.000035
457,0.837681
458,0.577710
459,1.000035
460,0.743916
461,1.000000
462,1.000035
463,0.560339
464,0.665533
465,0.497000
466,0.561595
467,0.499084
468,0.689665
469,0.499394
470,0.908369
471,0.930187
472,0.450718
473,0.430569
474,0.608919
475,0.456165
476,1.000035
477,0.817010
478,0.536184
479,0.991667
480,0.311111
481,0.954463
482,0.738685
483,0.693432
484,0.441779
485,0.568276
486,0.601044
487,0.696851
488,0.867341
489,0.983682
490,0.842336
491,0.597744
492,0.733734
493,0.667752
494,0.928936
495,0.705243
496,0.689665
497,0.728832
498,1.000035
499,0.791920
500,0.425296
501,0.936718
502,0.794513
503,0.967388
504,0.953754
505,0.880863
506,0.624266
507,0.407281
508,0.685223
509,0.551895
510,0.991702
511,0.652178
512,1.000000
513,0.483451
514,0.533050
515,0.541959
516,0.854524
517,0.932491
518,0.396137
519,0.647145
520,0.705986
521,0.860956
522,0.319431
523,0.661485
524,1.000035
525,0.502416
526,1.000035
527,1.000035
528,0.515875
529,0.252715
530,0.689665
531,0.429043
532,0.666514
533,0.814984
534,0.556021
535,0.751672
536,0.733779
537,0.684610
538,1.000035
539,1.000035
540,1.000035
541,0.496810
542,0.951494
543,0.596737
544,0.899924
545,0.417163
546,0.831691
547,0.700367
548,0.521811
549,0.622925
550,0.916051
551,0.577143
552,0.672356
553,0.775755
554,0.340739
555,0.984066
556,0.376431
557,0.952810
558,0.694108
559,0.391534
560,0.456364
561,0.572131
562,0.729352
563,0.701431
564,0.838462
565,0.561628
566,0.936585
567,1.000000
568,0.543246
569,0.448803
570,0.878809
571,1.000035
572,0.891919
573,0.652502
574,0.335471
575,1.000035
576,0.635460
577,0.751672
578,0.560892
579,0.515320
580,1.000035
581,1.000035
582,0.670492
583,0.728832
584,0.967799
585,0.716917
586,0.402930
587,0.436836
588,0.929430
589,0.784021
590,1.000035
591,0.886975
592,0.695238
593,0.887571
594,0.992159
595,0.873591
596,1.000000
597,1.000035
598,0.726089
599,1.000035
600,0.728477
601,1.000000
602,0.992651
603,0.692382
604,1.000000
605,0.624266
606,0.411642
607,0.628213
608,0.620478
609,0.552609
610,0.673560
611,0.398385
612,1.000035
613,1.000000
614,0.716308
615,0.855428
616,0.682148
617,0.738685
618,1.000000
619,0.844015
620,0.628472
621,0.751672
622,0.510972
623,1.000035
624,0.929693
625,0.711151
626,1.000035
627,0.917444
628,1.000035
629,0.585903
630,0.531809
631,1.000035
632,0.473846
633,0.733756
634,0.936254
635,0.670492
636,0.544513
637,0.670492
638,0.590385
639,0.648041
640,0.894486
641,0.733711
642,1.000035
643,0.939107
644,0.546394
645,1.000035
646,0.967285
647,0.738685
648,0.436086
649,0.936386
650,1.000035
651,0.453959
652,0.079365
653,0.979663
654,0.578229
655,0.145455
656,0.368421
657,0.613240
658,0.576728
659,0.576267
660,0.382346
661,0.209150
662,1.000000
663,1.000000
664,0.901847
665,0.500000
666,0.943561
667,0.372351
668,1.000000
669,0.408201
670,0.869511
671,0.567893
672,0.979663
673,0.979663
674,0.623658
675,1.000000
676,1.000000
677,1.000000
678,0.500000
679,0.438768
680,1.000000
681,0.509483
682,1.000000
683,0.920614
684,0.935088
685,1.000000
686,1.000000
687,0.357143
688,1.000000
689,0.692725
690,0.380952
691,1.000000
692,0.958591
693,0.463602
694,0.608606
695,1.000000
696,1.000000
697,1.000000
698,0.313564
699,1.000000
700,1.000000
701,1.000000
702,0.485489
703,1.000000
704,1.000000
705,1.000000
706,0.686713
707,0.137255
708,0.333333
709,0.635811
710,0.939978
711,0.514378
712,0.515457
713,0.347274
714,0.240530
715,0.797253
716,1.000000
717,0.582185
718,0.600000
719,0.466360
720,0.542163
721,1.000000
722,1.000000
723,0.924781
724,0.293345
725,1.000000
726,0.243590
727,0.411243
728,0.900344
729,1.000000
730,0.937962
731,1.000000
732,0.534027
733,0.126316
734,0.236364
735,0.236364
736,0.236364
737,1.000000
738,0.194444
739,0.069380
740,0.535714
741,0.288889
742,0.666667
743,0.278415
744,0.333333
745,0.500000
746,0.194444
747,0.243590
748,0.235294
749,0.152381
750,0.094624
751,0.388889
752,0.222222
753,0.159091
754,1.000000
755,0.207188
756,0.400000
757,0.500000
758,0.133333
759,0.133333
760,0.414398
761,0.333333
762,0.333333
763,1.000000
764,0.535714
765,0.535714
766,0.353247
767,0.748512
768,0.234956
769,0.600000
770,0.666667
771,1.000000
772,0.428571
773,0.157143
774,0.212121
775,0.433962
776,0.104188
777,1.000000
778,1.000000
779,0.277778
780,0.309091
781,0.359307
782,0.122995
783,0.333333
784,0.424242
785,1.000000
786,1.000000
787,0.254545
788,0.224080
789,1.000000
790,0.111828
791,1.000000
792,0.666667
793,0.260341
794,1.000000
795,0.553708
796,0.393750
797,1.000000
798,0.653439
799,1.000000
800,1.000000
801,0.581451
