node,value
0,0.167835
1,0.088235
2,0.114754
3,0.069250
4,0.145990
5,0.023107
6,0.122363
7,0.019943
8,0.024051
9,0.131493
10,0.021702
11,0.051130
12,0.067037
13,0.234672
14,0.130137
15,0.085296
16,0.116575
17,0.216883
18,0.132749
19,0.123507
20,0.124663
21,0.044823
22,0.145563
23,0.107963
24,0.266257
25,0.094841
26,0.196221
27,0.052607
28,0.293360
29,0.164852
30,0.038667
31,0.090324
32,0.098416
33,0.095475
34,0.079353
35,0.043092
36,0.128019
37,0.208141
38,0.109625
39,0.058091
40,0.061960
41,0.103036
42,0.189189
43,0.116886
44,0.179619
45,0.100494
46,0.098281
47,0.260709
48,0.100603
49,0.103896
50,0.098644
51,0.145318
52,0.112626
53,0.048481
54,0.240795
55,0.163158
56,0.144120
57,0.167182
58,0.183875
59,0.390769
60,0.239683
61,0.147541
62,0.325610
63,0.092599
64,0.225806
65,0.322464
66,0.086133
67,0.157143
68,0.249471
69,0.262069
70,0.380645
71,0.217054
72,0.068729
73,0.210479
74,0.179435
75,0.216667
76,0.145092
77,0.161254
78,0.174838
79,0.261538
80,0.183838
81,0.300403
82,0.273016
83,0.368952
84,0.090909
85,0.187500
86,0.146154
87,0.158645
88,0.041667
89,0.196078
90,0.038257
91,0.056266
92,0.296703
93,0.097479
94,0.153846
95,0.081701
96,0.227273
97,0.077381
98,0.138889
99,0.205882
100,0.205882
101,0.068531
102,0.082275
103,0.166667
104,0.444444
105,0.062910
106,0.062910
107,0.093567
108,0.073593
109,0.049349
110,0.134199
111,0.091966
112,0.186186
113,0.168223
114,0.126246
115,0.089995
116,0.166667
117,0.833333
118,0.323810
119,0.101634
120,0.305556
121,0.061846
122,0.148148
123,0.166667
124,0.088917
125,0.210000
126,0.083922
127,0.062539
128,0.053119
129,0.082204
130,0.051214
131,0.113462
132,0.071498
133,0.096782
134,0.128645
135,0.215686
136,0.093643
137,0.116482
138,0.193182
139,0.141404
140,0.140845
141,0.193948
142,0.114530
143,0.084994
144,0.388889
145,0.177295
146,0.045436
147,0.170614
148,0.153846
149,0.320261
150,0.203030
151,0.169288
152,0.036430
153,0.107883
154,0.082380
155,0.030991
156,0.361111
157,0.026237
158,0.071204
159,0.192308
160,0.047573
161,0.210916
162,0.034228
163,0.127273
164,0.151515
165,0.231579
166,0.041196
167,0.120856
168,0.110728
169,0.114836
170,0.056022
171,0.155128
172,0.191582
173,0.140447
174,0.111284
175,0.084991
176,0.095525
177,0.326154
178,0.142140
179,0.133299
180,0.133661
181,0.169328
182,0.246599
183,0.091799
184,0.111219
185,0.082033
186,0.156989
187,0.219048
188,0.114147
189,0.147223
190,0.196401
191,0.223485
192,0.261905
193,0.294889
194,0.229690
195,0.396825
196,0.236573
197,0.227888
198,0.184323
199,0.155005
200,0.241530
201,0.134871
202,0.153247
203,0.077236
204,0.130446
205,0.078628
206,0.285714
207,0.056989
208,0.108266
209,0.053631
210,0.208081
211,0.184815
212,0.119406
213,0.533333
214,0.065854
215,0.170192
216,0.081561
217,0.150473
218,0.340909
219,0.157722
220,0.312598
221,0.191597
222,0.044883
223,0.346341
224,0.392713
225,0.291397
226,0.165242
227,0.175434
228,0.140230
229,0.479532
230,0.047351
231,0.325253
232,0.185484
233,0.293333
234,0.078311
235,0.108367
236,0.445455
237,0.308642
238,0.034767
239,0.277778
240,0.077922
241,0.126402
242,0.191176
243,0.081226
244,0.128234
245,0.061804
246,0.027425
247,0.048342
248,0.200000
249,0.132404
250,0.019747
251,0.219241
252,0.087216
253,0.093646
254,0.075608
255,0.061581
256,0.280952
257,0.371429
258,0.054372
259,0.151584
260,0.267089
261,0.078794
262,0.190476
263,0.074561
264,0.128627
265,0.072464
266,0.072287
267,0.095567
268,0.025242
269,0.061061
270,0.055205
271,0.124000
272,0.137445
273,0.081611
274,0.130256
275,0.262897
276,0.125547
277,0.140097
278,0.175610
279,0.135472
280,0.192713
281,0.256808
282,0.131243
283,0.084516
284,0.085373
285,0.276798
286,0.406463
287,0.196721
288,0.234958
289,0.050108
290,0.500000
291,0.116341
292,0.448718
293,0.155020
294,0.155556
295,0.184372
296,0.168742
297,0.232119
298,0.175180
299,0.083916
300,0.212312
301,0.196754
302,0.037699
303,0.146245
304,0.049234
305,0.031046
306,0.149306
307,0.283333
308,0.366667
309,0.207207
310,0.249462
311,0.294118
312,0.232119
313,0.127105
314,0.127828
315,0.100763
316,0.076370
317,0.104053
318,0.250000
319,0.097821
320,0.054337
321,0.123425
322,0.164557
323,0.095863
324,0.158923
