node,value
0,0.080688
1,0.024631
2,0.060105
3,0.045562
4,0.075871
5,0.053034
6,0.115686
7,0.045130
8,0.101639
9,0.139899
10,0.060606
11,0.083220
12,0.054825
13,0.069943
14,0.034056
15,0.055546
16,0.201754
17,0.103896
18,0.071429
19,0.116667
20,0.053422
21,0.103989
22,0.159091
23,0.225146
24,0.122530
25,0.143050
26,0.126190
27,0.091667
28,0.044444
29,0.100749
30,0.033760
31,0.051075
32,0.158835
33,0.082776
34,0.055081
35,0.116234
36,0.080925
37,0.188261
38,0.069188
39,0.049384
40,0.096571
41,0.047119
42,0.067390
43,0.054452
44,0.097368
45,0.090255
46,0.131773
47,0.090909
48,0.090909
49,0.147226
50,0.093913
51,0.115927
52,0.176344
53,0.216374
54,0.066484
55,0.055397
56,0.055914
57,0.067460
58,0.047267
59,0.076193
60,0.047375
61,0.112957
62,0.079503
63,0.057858
64,0.095850
65,0.098485
66,0.071053
67,0.086869
68,0.123684
69,0.055556
70,0.123810
71,0.050908
72,0.102728
73,0.066667
74,0.153680
75,0.112613
76,0.176923
77,0.128947
78,0.083220
79,0.091106
80,0.064251
81,0.118234
82,0.051878
83,0.134058
84,0.039495
85,0.118875
86,0.067476
87,0.089623
88,0.122705
89,0.164615
90,0.117354
91,0.068883
92,0.218333
93,0.088136
94,0.068948
95,0.082151
96,0.147368
97,0.088171
98,0.119048
99,0.095853
100,0.080214
101,0.055303
102,0.190909
103,0.177778
104,0.136700
105,0.075861
106,0.196581
107,0.054284
108,0.186553
109,0.100408
110,0.065728
111,0.056604
112,0.093552
113,0.050479
114,0.062429
115,0.173203
116,0.191700
117,0.197368
118,0.089899
119,0.081699
120,0.134503
121,0.187747
122,0.113636
123,0.127841
124,0.102632
125,0.160079
126,0.105387
127,0.092915
128,0.089779
129,0.116809
130,0.125616
131,0.107843
132,0.170968
133,0.095301
134,0.129966
135,0.199134
136,0.158088
137,0.058222
138,0.062808
139,0.097467
140,0.075183
141,0.135195
142,0.137363
143,0.068497
144,0.088486
145,0.043861
146,0.142857
147,0.154545
148,0.047794
149,0.089744
150,0.063280
151,0.300000
152,0.134503
153,0.117754
154,0.081633
155,0.095732
156,0.089226
157,0.077778
158,0.052910
159,0.092857
160,0.045515
161,0.113636
162,0.124183
163,0.199134
164,0.098837
165,0.244444
166,0.120690
167,0.128571
168,0.121989
169,0.117647
170,0.127706
171,0.117647
172,0.176471
173,0.181818
174,0.125000
175,0.082574
176,0.087352
177,0.035504
178,0.108187
179,0.132890
180,0.100000
181,0.107895
182,0.083091
183,0.166667
184,0.129870
185,0.126936
186,0.095306
187,0.080063
188,0.092828
189,0.175824
190,0.040363
191,0.063137
192,0.095169
193,0.079051
194,0.064212
195,0.078598
196,0.052504
197,0.072072
198,0.106782
199,0.100000
200,0.120000
201,0.150245
202,0.060526
203,0.075400
204,0.084967
205,0.106613
206,0.097538
207,0.077707
208,0.109788
209,0.155797
210,0.073333
211,0.084259
212,0.062195
213,0.092742
214,0.099166
215,0.138095
216,0.082378
217,0.097403
218,0.233333
219,0.116667
220,0.062870
221,0.147059
222,0.156989
223,0.099435
224,0.170543
225,0.045171
226,0.105890
227,0.111892
228,0.062442
229,0.057476
230,0.064950
231,0.104918
232,0.111667
233,0.114719
234,0.085586
235,0.148520
236,0.072566
237,0.164502
238,0.078598
239,0.230769
240,0.057471
241,0.148485
242,0.122703
243,0.122881
244,0.124950
245,0.103863
246,0.125088
247,0.061351
248,0.090769
249,0.147186
250,0.125283
251,0.067460
252,0.092350
253,0.142248
254,0.123153
255,0.069523
256,0.138462
257,0.113432
258,0.137821
259,0.147059
260,0.086657
261,0.066102
262,0.152308
263,0.098039
264,0.090554
265,0.250000
266,0.136863
267,0.128205
268,0.124039
269,0.067251
270,0.082138
271,0.106061
272,0.149471
273,0.082807
274,0.129781
275,0.082160
276,0.087912
277,0.075397
278,0.114653
279,0.162698
280,0.128205
281,0.113580
282,0.146199
283,0.200000
284,0.180556
285,0.101953
286,0.042751
287,0.122414
288,0.145320
289,0.196970
290,0.065217
291,0.057932
292,0.102757
293,0.186207
294,0.124053
295,0.210227
296,0.288095
297,0.198780
298,0.068116
299,0.098522
300,0.127312
301,0.125000
302,0.099190
303,0.088745
304,0.097531
305,0.194853
306,0.121429
307,0.063572
308,0.147619
309,0.087302
310,0.169892
311,0.108627
312,0.250000
313,0.172951
314,0.110984
315,0.143771
316,0.203704
317,0.119355
318,0.088333
319,0.053140
320,0.079891
321,0.141667
322,0.053211
323,0.072727
324,0.123103
325,0.102036
326,0.024423
327,0.139676
328,0.085253
329,0.111111
330,0.107576
331,0.069879
332,0.103367
333,0.087342
334,0.084318
335,0.119910
336,0.102504
337,0.102504
338,0.150000
339,0.063036
340,0.093465
341,0.092391
342,0.091912
343,0.039855
344,0.021429
345,0.099303
346,0.075903
347,0.078261
348,0.071409
349,0.023810
350,0.055618
351,0.078571
352,0.107143
353,0.061463
354,0.122222
355,0.152218
356,0.088171
357,0.204545
358,0.106061
359,0.137500
360,0.209524
361,0.084967
362,0.150735
363,0.141026
364,0.138039
365,0.094771
366,0.116923
367,0.200739
368,0.100601
369,0.150198
370,0.181818
371,0.083137
372,0.163306
373,0.177536
374,0.057990
375,0.127706
376,0.080000
377,0.100000
378,0.094726
379,0.087291
380,0.126154
381,0.107686
382,0.224265
383,0.125541
384,0.117647
385,0.151261
386,0.123377
387,0.081746
388,0.054348
389,0.076923
390,0.054167
391,0.028947
392,0.091173
393,0.083642
394,0.101282
395,0.075135
396,0.112366
397,0.139891
398,0.089682
399,0.132985
400,0.178571
401,0.061601
402,0.047741
403,0.101557
404,0.123810
405,0.141534
406,0.114379
407,0.176667
408,0.026122
409,0.031647
410,0.046817
411,0.024359
412,0.096044
413,0.085459
414,0.118165
415,0.096970
416,0.080000
417,0.095833
418,0.094694
419,0.064273
420,0.107692
421,0.104881
422,0.191176
423,0.078029
424,0.068694
425,0.106822
426,0.128676
427,0.137949
428,0.094776
429,0.094362
430,0.051800
431,0.054545
432,0.051790
433,0.080112
434,0.168029
435,0.053782
436,0.022222
437,0.126190
438,0.089232
439,0.084453
440,0.053968
441,0.137411
442,0.091912
443,0.071126
444,0.255556
445,0.056650
446,0.112245
447,0.126739
448,0.093548
449,0.143506
450,0.167659
451,0.122222
452,0.174242
453,0.101202
454,0.084226
455,0.092865
456,0.098485
457,0.097518
458,0.093333
459,0.087139
460,0.121910
461,0.108383
462,0.142276
463,0.092461
464,0.129445
465,0.111862
466,0.113131
467,0.145749
468,0.075152
469,0.047975
470,0.066667
471,0.082745
472,0.101381
473,0.139385
474,0.174194
475,0.065149
476,0.055656
477,0.098603
478,0.094245
479,0.128734
480,0.076481
481,0.116402
482,0.069441
483,0.040791
484,0.076282
485,0.108775
486,0.116152
487,0.074183
488,0.031547
489,0.092915
490,0.063492
491,0.103943
492,0.075418
493,0.112520
494,0.088324
495,0.066132
496,0.159437
497,0.108625
498,0.203049
499,0.093023
500,0.085765
501,0.185714
502,0.082387
503,0.057143
504,0.132505
505,0.118151
506,0.075603
507,0.114114
508,0.050324
509,0.114675
510,0.117716
511,0.076162
512,0.139599
513,0.146377
514,0.140373
515,0.107496
516,0.132353
517,0.036162
518,0.097538
519,0.163257
520,0.087486
521,0.052384
522,0.072193
523,0.111111
524,0.061404
525,0.128157
526,0.104497
527,0.086060
528,0.077778
529,0.103145
530,0.113846
531,0.156112
532,0.087912
533,0.083314
534,0.075422
535,0.169048
536,0.120212
537,0.124113
