node,value
0,1.000000
1,70.000000
2,1.000000
3,5.000000
4,8.000000
5,62.000000
6,9.000000
7,14.000000
8,1.000000
9,39.000000
10,4.000000
11,5.000000
12,5.000000
13,15.000000
14,1.000000
15,6.000000
16,5.000000
17,1.000000
18,5.000000
19,3.000000
20,1.000000
21,4.000000
22,1.000000
23,1.000000
24,1.000000
25,2.000000
26,1.000000
27,78.000000
28,1.000000
29,1.000000
30,2.000000
31,3.000000
32,2.000000
33,1.000000
34,1.000000
35,3.000000
36,1.000000
37,1.000000
38,1.000000
39,18.000000
40,1.000000
41,3.000000
42,4.000000
43,1.000000
44,10.000000
45,25.000000
46,112.000000
47,1.000000
48,1.000000
49,10.000000
50,11.000000
51,7.000000
52,3.000000
53,111.000000
54,102.000000
55,16.000000
56,309.000000
57,1.000000
58,2.000000
59,11.000000
60,12.000000
61,1.000000
62,12.000000
63,1.000000
64,1.000000
65,4.000000
66,1.000000
67,1.000000
68,1.000000
69,6.000000
70,2.000000
71,297.000000
72,4.000000
73,293.000000
74,125.000000
75,232.000000
76,125.000000
77,455.000000
78,422.000000
79,1026.000000
80,1245.000000
81,146.000000
82,133.000000
83,170.000000
84,468.000000
85,1143.000000
86,12.000000
87,514.000000
88,244.000000
89,791.000000
90,505.000000
91,607.000000
92,924.000000
93,829.000000
94,539.000000
95,686.000000
96,908.000000
97,666.000000
98,118.000000
99,243.000000
100,58.000000
101,159.000000
102,343.000000
103,424.000000
104,218.000000
105,449.000000
106,147.000000
107,609.000000
108,207.000000
109,171.000000
110,332.000000
111,168.000000
112,397.000000
113,423.000000
114,66.000000
115,139.000000
116,160.000000
117,190.000000
118,383.000000
119,389.000000
120,163.000000
121,141.000000
122,4.000000
123,45.000000
124,16.000000
125,235.000000
126,28.000000
127,8.000000
128,3.000000
129,6.000000
130,35.000000
131,13.000000
132,9.000000
133,3.000000
134,93.000000
135,421.000000
136,2.000000
137,284.000000
138,102.000000
139,101.000000
140,24.000000
141,120.000000
142,212.000000
143,277.000000
144,1367.000000
145,190.000000
146,35.000000
147,209.000000
148,1068.000000
149,98.000000
150,343.000000
151,87.000000
152,18.000000
153,186.000000
154,27.000000
155,41.000000
156,72.000000
157,17.000000
158,40.000000
159,70.000000
160,23.000000
161,16.000000
162,5.000000
163,11.000000
164,49.000000
165,339.000000
166,126.000000
167,264.000000
168,17.000000
169,38.000000
170,143.000000
171,2.000000
172,2.000000
173,203.000000
174,54.000000
175,151.000000
176,163.000000
177,310.000000
178,25.000000
179,3.000000
180,5.000000
181,377.000000
182,815.000000
183,201.000000
184,597.000000
185,234.000000
186,339.000000
187,399.000000
188,705.000000
189,172.000000
190,141.000000
191,1261.000000
192,538.000000
193,405.000000
194,62.000000
195,295.000000
196,386.000000
197,1244.000000
198,243.000000
199,6.000000
200,263.000000
201,314.000000
202,307.000000
203,365.000000
204,143.000000
205,262.000000
206,280.000000
207,197.000000
208,310.000000
209,174.000000
210,217.000000
211,100.000000
212,228.000000
213,263.000000
214,365.000000
215,24.000000
216,23.000000
217,18.000000
218,1.000000
219,4.000000
220,36.000000
221,17.000000
222,3.000000
223,46.000000
224,72.000000
225,344.000000
226,217.000000
227,46.000000
228,6.000000
229,8.000000
230,35.000000
231,47.000000
232,27.000000
233,37.000000
234,11.000000
235,33.000000
236,172.000000
237,285.000000
238,214.000000
239,50.000000
240,271.000000
241,247.000000
242,366.000000
243,136.000000
244,711.000000
245,1099.000000
246,521.000000
247,244.000000
248,133.000000
249,101.000000
250,135.000000
251,121.000000
252,136.000000
253,106.000000
254,7.000000
255,65.000000
256,119.000000
