node,value
0,10.000000
1,10.000000
2,10.000000
3,10.000000
4,10.000000
5,9.000000
6,10.000000
7,10.000000
8,10.000000
9,10.000000
10,10.000000
11,10.000000
12,10.000000
13,10.000000
14,10.000000
15,10.000000
16,1.000000
17,1.000000
18,1.000000
19,10.000000
20,10.000000
21,10.000000
22,10.000000
23,10.000000
24,10.000000
25,10.000000
26,10.000000
27,10.000000
28,10.000000
29,10.000000
30,10.000000
31,10.000000
32,10.000000
33,10.000000
34,10.000000
35,10.000000
36,10.000000
37,10.000000
38,10.000000
39,10.000000
40,10.000000
41,10.000000
42,10.000000
43,10.000000
44,10.000000
45,10.000000
46,10.000000
47,10.000000
48,10.000000
49,10.000000
50,10.000000
51,10.000000
52,10.000000
53,10.000000
54,10.000000
55,10.000000
56,10.000000
57,10.000000
58,10.000000
59,10.000000
60,10.000000
61,10.000000
62,10.000000
63,10.000000
64,10.000000
65,10.000000
66,10.000000
67,10.000000
68,9.000000
69,10.000000
70,10.000000
71,10.000000
72,10.000000
73,10.000000
74,11.000000
75,11.000000
76,11.000000
77,11.000000
78,10.000000
79,10.000000
80,10.000000
81,10.000000
82,10.000000
83,10.000000
84,10.000000
85,10.000000
86,10.000000
87,10.000000
88,10.000000
89,10.000000
90,2.000000
91,2.000000
92,2.000000
93,2.000000
94,2.000000
95,2.000000
96,2.000000
97,2.000000
98,2.000000
99,2.000000
100,10.000000
101,10.000000
102,1.000000
103,1.000000
104,1.000000
105,1.000000
106,1.000000
107,10.000000
108,10.000000
109,10.000000
110,10.000000
111,10.000000
112,10.000000
113,10.000000
114,10.000000
115,10.000000
116,10.000000
117,10.000000
118,10.000000
119,10.000000
120,10.000000
121,10.000000
122,10.000000
123,10.000000
124,10.000000
125,10.000000
126,10.000000
127,10.000000
128,10.000000
129,10.000000
130,10.000000
131,10.000000
132,10.000000
133,10.000000
134,10.000000
135,10.000000
136,10.000000
137,10.000000
138,10.000000
139,10.000000
140,10.000000
141,10.000000
142,10.000000
143,10.000000
144,10.000000
145,10.000000
146,10.000000
147,10.000000
148,10.000000
149,10.000000
150,10.000000
151,10.000000
152,10.000000
153,10.000000
154,10.000000
155,10.000000
156,10.000000
157,10.000000
158,10.000000
159,10.000000
160,10.000000
161,10.000000
162,10.000000
163,10.000000
164,10.000000
165,10.000000
166,10.000000
167,10.000000
168,10.000000
169,10.000000
170,10.000000
171,10.000000
172,10.000000
173,10.000000
174,10.000000
175,10.000000
176,10.000000
177,10.000000
178,10.000000
179,10.000000
180,10.000000
181,10.000000
182,10.000000
183,10.000000
184,9.000000
185,9.000000
186,9.000000
187,9.000000
188,9.000000
189,9.000000
190,9.000000
191,9.000000
192,9.000000
193,9.000000
194,10.000000
195,10.000000
196,10.000000
197,10.000000
198,10.000000
199,10.000000
200,10.000000
201,10.000000
202,10.000000
203,10.000000
204,10.000000
205,10.000000
206,10.000000
207,10.000000
208,10.000000
209,10.000000
210,10.000000
211,10.000000
212,10.000000
213,10.000000
214,10.000000
215,10.000000
216,10.000000
217,10.000000
218,10.000000
219,10.000000
220,10.000000
221,10.000000
222,10.000000
223,10.000000
224,10.000000
225,10.000000
226,10.000000
227,10.000000
228,10.000000
229,9.000000
230,9.000000
231,9.000000
232,9.000000
233,5.000000
234,5.000000
235,3.000000
236,3.000000
237,3.000000
238,3.000000
239,3.000000
240,3.000000
241,3.000000
242,3.000000
243,10.000000
244,10.000000
245,10.000000
246,10.000000
247,10.000000
248,10.000000
249,10.000000
250,10.000000
251,10.000000
252,10.000000
253,10.000000
254,10.000000
255,10.000000
256,10.000000
257,10.000000
258,10.000000
259,10.000000
260,10.000000
261,10.000000
262,10.000000
263,10.000000
264,10.000000
265,10.000000
266,10.000000
267,10.000000
268,10.000000
269,10.000000
270,10.000000
271,10.000000
272,10.000000
273,9.000000
274,9.000000
275,10.000000
276,10.000000
277,10.000000
278,9.000000
279,10.000000
280,10.000000
281,9.000000
282,10.000000
283,10.000000
284,10.000000
285,10.000000
286,10.000000
287,10.000000
288,10.000000
289,10.000000
290,10.000000
291,10.000000
292,10.000000
293,10.000000
294,10.000000
295,10.000000
296,10.000000
297,10.000000
298,10.000000
299,10.000000
300,10.000000
301,10.000000
302,10.000000
303,10.000000
304,10.000000
305,10.000000
306,9.000000
307,9.000000
308,9.000000
309,10.000000
310,10.000000
311,10.000000
312,10.000000
313,10.000000
314,9.000000
315,10.000000
316,10.000000
317,10.000000
318,10.000000
319,10.000000
320,10.000000
321,10.000000
322,10.000000
323,10.000000
324,9.000000
325,9.000000
326,9.000000
327,10.000000
328,4.000000
329,4.000000
330,4.000000
331,4.000000
332,4.000000
333,10.000000
334,10.000000
335,10.000000
336,10.000000
337,10.000000
338,10.000000
339,10.000000
340,10.000000
341,10.000000
342,10.000000
343,9.000000
344,9.000000
345,9.000000
346,9.000000
347,9.000000
348,9.000000
349,9.000000
350,9.000000
351,9.000000
352,9.000000
353,9.000000
354,10.000000
355,10.000000
356,10.000000
357,9.000000
358,10.000000
359,10.000000
360,10.000000
361,10.000000
362,10.000000
363,21.000000
364,21.000000
365,10.000000
366,10.000000
367,10.000000
368,10.000000
369,10.000000
370,10.000000
371,10.000000
372,10.000000
373,10.000000
374,10.000000
375,8.000000
376,10.000000
377,10.000000
378,10.000000
379,10.000000
380,10.000000
381,10.000000
382,10.000000
383,9.000000
384,9.000000
385,9.000000
386,1.000000
387,1.000000
388,1.000000
389,1.000000
390,10.000000
391,10.000000
392,10.000000
393,9.000000
394,10.000000
395,10.000000
396,10.000000
397,10.000000
398,10.000000
399,10.000000
400,10.000000
401,10.000000
402,10.000000
403,10.000000
404,10.000000
405,10.000000
406,10.000000
407,10.000000
408,10.000000
409,10.000000
410,10.000000
411,10.000000
412,10.000000
413,10.000000
414,10.000000
415,10.000000
416,10.000000
417,10.000000
418,10.000000
419,10.000000
420,10.000000
421,10.000000
422,10.000000
423,10.000000
424,10.000000
425,10.000000
426,10.000000
427,10.000000
428,10.000000
429,10.000000
430,10.000000
431,10.000000
432,10.000000
433,10.000000
434,10.000000
435,10.000000
436,10.000000
437,10.000000
438,10.000000
439,10.000000
440,10.000000
441,10.000000
442,10.000000
443,10.000000
444,10.000000
445,9.000000
446,9.000000
447,9.000000
448,9.000000
449,12.000000
450,10.000000
451,10.000000
452,10.000000
453,4.000000
454,4.000000
455,4.000000
456,4.000000
457,4.000000
458,4.000000
459,4.000000
460,4.000000
461,4.000000
462,4.000000
463,4.000000
464,10.000000
465,10.000000
466,10.000000
467,10.000000
468,10.000000
469,10.000000
470,10.000000
471,10.000000
472,10.000000
473,10.000000
474,10.000000
475,10.000000
476,10.000000
477,10.000000
478,10.000000
479,10.000000
480,1.000000
481,1.000000
482,1.000000
483,1.000000
484,1.000000
485,1.000000
486,1.000000
487,10.000000
488,10.000000
489,9.000000
490,9.000000
491,9.000000
492,9.000000
493,9.000000
494,10.000000
495,10.000000
496,10.000000
497,10.000000
498,10.000000
499,10.000000
500,10.000000
501,10.000000
502,10.000000
503,9.000000
504,9.000000
505,9.000000
506,9.000000
507,9.000000
508,9.000000
509,9.000000
510,9.000000
511,10.000000
512,10.000000
513,10.000000
514,10.000000
515,10.000000
516,10.000000
517,10.000000
518,10.000000
