node,value
0,25.000000
1,10.000000
2,30.000000
3,2.000000
4,18.000000
5,31.000000
6,3.000000
7,12.000000
8,118.000000
9,14.000000
10,251.000000
11,3.000000
12,17.000000
13,30.000000
14,7.000000
15,2.000000
16,86.000000
17,22.000000
18,129.000000
19,20.000000
20,37.000000
21,64.000000
22,20.000000
23,15.000000
24,69.000000
25,149.000000
26,2.000000
27,23.000000
28,6.000000
29,2.000000
30,21.000000
31,8.000000
32,39.000000
33,57.000000
34,14.000000
35,9.000000
36,68.000000
37,7.000000
38,7.000000
39,50.000000
40,4.000000
41,24.000000
42,112.000000
43,3.000000
44,9.000000
45,3.000000
46,18.000000
47,5.000000
48,6.000000
49,12.000000
50,25.000000
51,7.000000
52,15.000000
53,33.000000
54,2.000000
55,8.000000
56,4.000000
57,3.000000
58,12.000000
59,3.000000
60,13.000000
61,7.000000
62,10.000000
63,23.000000
64,3.000000
65,15.000000
66,19.000000
67,59.000000
68,1.000000
69,4.000000
70,9.000000
71,107.000000
72,8.000000
73,8.000000
74,32.000000
75,3.000000
76,4.000000
77,1.000000
78,327.000000
79,8.000000
80,3.000000
81,26.000000
82,7.000000
83,282.000000
84,9.000000
85,15.000000
86,12.000000
87,19.000000
88,6.000000
89,6.000000
90,13.000000
91,6.000000
92,8.000000
93,44.000000
94,2.000000
95,2.000000
96,22.000000
97,5.000000
98,7.000000
99,6.000000
100,17.000000
101,1.000000
102,4.000000
103,86.000000
104,2.000000
105,89.000000
106,23.000000
107,7.000000
108,20.000000
109,10.000000
110,22.000000
111,41.000000
112,20.000000
113,30.000000
114,117.000000
115,15.000000
116,6.000000
117,8.000000
118,12.000000
119,15.000000
120,3.000000
121,53.000000
122,11.000000
123,6.000000
124,5.000000
125,30.000000
126,26.000000
127,7.000000
128,45.000000
129,43.000000
130,12.000000
131,3.000000
132,18.000000
133,9.000000
134,1.000000
135,2.000000
136,80.000000
137,7.000000
138,5.000000
139,12.000000
140,3.000000
141,1.000000
142,8.000000
143,10.000000
144,11.000000
145,18.000000
146,14.000000
147,126.000000
148,26.000000
149,1.000000
150,13.000000
151,23.000000
152,137.000000
153,10.000000
154,8.000000
155,32.000000
156,16.000000
157,29.000000
158,11.000000
159,34.000000
160,9.000000
161,6.000000
162,9.000000
163,9.000000
164,5.000000
165,4.000000
166,23.000000
167,26.000000
168,23.000000
169,27.000000
170,9.000000
171,76.000000
172,110.000000
173,19.000000
174,15.000000
175,4.000000
176,6.000000
177,108.000000
178,3.000000
179,17.000000
180,18.000000
181,9.000000
182,28.000000
183,30.000000
184,6.000000
185,8.000000
186,2.000000
187,18.000000
188,28.000000
189,8.000000
190,14.000000
191,4.000000
192,8.000000
193,83.000000
194,12.000000
195,30.000000
196,10.000000
197,23.000000
198,27.000000
199,17.000000
200,9.000000
201,10.000000
202,9.000000
203,8.000000
204,18.000000
205,12.000000
206,39.000000
207,18.000000
208,32.000000
209,7.000000
210,13.000000
211,14.000000
212,7.000000
213,22.000000
214,25.000000
215,23.000000
216,4.000000
217,29.000000
218,13.000000
219,5.000000
220,6.000000
221,11.000000
222,16.000000
223,8.000000
224,12.000000
225,26.000000
226,4.000000
227,4.000000
228,14.000000
229,19.000000
230,23.000000
231,2.000000
232,3.000000
233,11.000000
234,30.000000
235,11.000000
236,16.000000
237,18.000000
238,39.000000
239,1.000000
240,5.000000
241,19.000000
242,3.000000
243,5.000000
244,3.000000
245,10.000000
246,2.000000
247,2.000000
248,30.000000
249,3.000000
250,7.000000
251,4.000000
252,9.000000
253,2.000000
254,20.000000
255,49.000000
256,29.000000
257,12.000000
258,14.000000
259,3.000000
260,1.000000
261,13.000000
262,3.000000
263,3.000000
264,6.000000
265,5.000000
266,17.000000
267,6.000000
268,3.000000
269,46.000000
270,5.000000
271,11.000000
272,23.000000
273,19.000000
274,5.000000
275,1.000000
276,96.000000
277,12.000000
278,8.000000
279,185.000000
280,25.000000
281,49.000000
282,23.000000
283,26.000000
284,45.000000
285,9.000000
286,97.000000
287,243.000000
288,77.000000
289,12.000000
290,14.000000
291,170.000000
292,211.000000
293,122.000000
294,194.000000
295,254.000000
296,354.000000
297,486.000000
298,77.000000
299,30.000000
300,325.000000
301,169.000000
302,77.000000
303,78.000000
304,77.000000
305,77.000000
306,77.000000
307,77.000000
308,143.000000
309,64.000000
310,50.000000
311,10.000000
312,77.000000
313,77.000000
314,365.000000
315,77.000000
316,77.000000
317,2.000000
318,204.000000
319,77.000000
320,10.000000
321,77.000000
322,77.000000
323,8.000000
324,77.000000
325,77.000000
326,424.000000
327,440.000000
328,482.000000
329,146.000000
330,148.000000
331,114.000000
332,77.000000
333,90.000000
334,77.000000
335,53.000000
336,121.000000
337,77.000000
338,333.000000
339,287.000000
340,15.000000
341,77.000000
342,77.000000
343,380.000000
344,77.000000
345,270.000000
346,2.000000
347,12.000000
348,77.000000
349,90.000000
350,77.000000
351,164.000000
352,84.000000
353,6.000000
354,77.000000
355,77.000000
356,110.000000
357,167.000000
358,251.000000
359,77.000000
360,77.000000
361,7.000000
