node,value
0,93.000000
1,17.000000
2,122.000000
3,144.000000
4,57.000000
5,461.000000
6,79.000000
7,1308.000000
8,1013.000000
9,153.000000
10,1124.000000
11,341.000000
12,194.000000
13,44.000000
14,73.000000
15,348.000000
16,230.000000
17,56.000000
18,206.000000
19,92.000000
20,179.000000
21,317.000000
22,119.000000
23,245.000000
24,63.000000
25,197.000000
26,129.000000
27,350.000000
28,71.000000
29,134.000000
30,545.000000
31,287.000000
32,214.000000
33,174.000000
34,306.000000
35,483.000000
36,170.000000
37,47.000000
38,124.000000
39,124.000000
40,193.000000
41,138.000000
42,38.000000
43,96.000000
44,95.000000
45,186.000000
46,204.000000
47,62.000000
48,138.000000
49,99.000000
50,93.000000
51,90.000000
52,79.000000
53,446.000000
54,59.000000
55,96.000000
56,98.000000
57,99.000000
58,95.000000
59,26.000000
60,36.000000
61,61.000000
62,41.000000
63,149.000000
64,31.000000
65,24.000000
66,155.000000
67,21.000000
68,44.000000
69,30.000000
70,31.000000
71,43.000000
72,358.000000
73,82.000000
74,32.000000
75,16.000000
76,38.000000
77,95.000000
78,47.000000
79,26.000000
80,45.000000
81,32.000000
82,36.000000
83,32.000000
84,11.000000
85,33.000000
86,40.000000
87,34.000000
88,16.000000
89,18.000000
90,344.000000
91,69.000000
92,14.000000
93,35.000000
94,13.000000
95,92.000000
96,33.000000
97,64.000000
98,9.000000
99,17.000000
100,4.000000
101,66.000000
102,58.000000
103,4.000000
104,10.000000
105,167.000000
106,3.000000
107,19.000000
108,78.000000
109,219.000000
110,22.000000
111,44.000000
112,37.000000
113,104.000000
114,43.000000
115,199.000000
116,9.000000
117,4.000000
118,15.000000
119,89.000000
120,9.000000
121,121.000000
122,27.000000
123,21.000000
124,184.000000
125,25.000000
126,51.000000
127,213.000000
128,71.000000
129,82.000000
130,296.000000
131,65.000000
132,257.000000
133,89.000000
134,125.000000
135,34.000000
136,77.000000
137,102.000000
138,33.000000
139,76.000000
140,72.000000
141,64.000000
142,91.000000
143,107.000000
144,9.000000
145,67.000000
146,244.000000
147,96.000000
148,66.000000
149,18.000000
150,45.000000
151,47.000000
152,299.000000
153,109.000000
154,115.000000
155,773.000000
156,9.000000
157,462.000000
158,191.000000
159,13.000000
160,422.000000
161,47.000000
162,47.000000
163,11.000000
164,12.000000
165,20.000000
166,391.000000
167,174.000000
168,162.000000
169,180.000000
170,238.000000
171,40.000000
172,53.000000
173,156.000000
174,108.000000
175,316.000000
176,270.000000
177,26.000000
178,92.000000
179,153.000000
180,168.000000
181,120.000000
182,49.000000
183,142.000000
184,188.000000
185,134.000000
186,31.000000
187,21.000000
188,89.000000
189,83.000000
190,72.000000
191,33.000000
192,49.000000
193,67.000000
194,59.000000
195,28.000000
196,69.000000
197,119.000000
198,95.000000
199,118.000000
200,61.000000
201,54.000000
202,56.000000
203,200.000000
204,87.000000
205,168.000000
206,7.000000
207,156.000000
208,146.000000
209,241.000000
210,55.000000
211,78.000000
212,178.000000
213,16.000000
214,41.000000
215,65.000000
216,138.000000
217,194.000000
218,33.000000
219,166.000000
220,72.000000
221,120.000000
222,317.000000
223,41.000000
224,39.000000
225,47.000000
226,27.000000
227,89.000000
228,30.000000
229,19.000000
230,388.000000
231,45.000000
232,32.000000
233,25.000000
234,157.000000
235,150.000000
236,56.000000
237,82.000000
238,118.000000
239,9.000000
240,56.000000
241,86.000000
242,17.000000
243,145.000000
244,73.000000
245,261.000000
246,790.000000
247,397.000000
248,76.000000
249,42.000000
250,1165.000000
251,47.000000
252,235.000000
253,82.000000
254,167.000000
255,288.000000
256,21.000000
257,35.000000
258,347.000000
259,52.000000
260,80.000000
261,337.000000
262,7.000000
263,57.000000
264,51.000000
265,69.000000
266,255.000000
267,187.000000
268,806.000000
269,130.000000
270,394.000000
271,125.000000
272,119.000000
273,184.000000
274,164.000000
275,64.000000
276,159.000000
277,46.000000
278,41.000000
279,34.000000
280,82.000000
281,92.000000
282,42.000000
283,125.000000
284,215.000000
285,67.000000
286,49.000000
287,61.000000
288,94.000000
289,343.000000
290,4.000000
291,140.000000
292,13.000000
293,99.000000
294,55.000000
295,68.000000
296,91.000000
297,39.000000
298,122.000000
299,66.000000
300,86.000000
301,90.000000
302,678.000000
303,23.000000
304,457.000000
305,498.000000
306,64.000000
307,16.000000
308,25.000000
309,37.000000
310,31.000000
311,34.000000
312,39.000000
313,155.000000
314,162.000000
315,128.000000
316,249.000000
317,156.000000
318,17.000000
319,136.000000
320,354.000000
321,118.000000
322,80.000000
323,127.000000
324,55.000000
325,61.000000
326,94.000000
327,94.000000
328,134.000000
329,77.000000
330,150.000000
331,77.000000
332,67.000000
333,46.000000
334,90.000000
335,434.000000
336,41.000000
337,59.000000
338,37.000000
339,218.000000
340,59.000000
341,219.000000
342,85.000000
343,44.000000
344,20.000000
345,43.000000
346,103.000000
347,273.000000
348,76.000000
349,160.000000
350,113.000000
351,40.000000
352,147.000000
353,131.000000
354,118.000000
355,135.000000
356,57.000000
357,46.000000
358,39.000000
359,74.000000
360,101.000000
361,108.000000
362,97.000000
363,63.000000
364,86.000000
365,47.000000
366,120.000000
367,103.000000
368,219.000000
369,26.000000
370,184.000000
371,63.000000
372,65.000000
373,64.000000
374,76.000000
375,49.000000
376,65.000000
377,58.000000
378,118.000000
379,86.000000
380,137.000000
381,51.000000
382,66.000000
383,103.000000
384,1.000000
385,256.000000
386,48.000000
387,24.000000
388,85.000000
389,41.000000
390,46.000000
391,43.000000
392,13.000000
393,30.000000
394,165.000000
395,28.000000
396,102.000000
