node,value
0,5.000000
1,5.000000
2,273.000000
3,33.000000
4,137.000000
5,137.000000
6,23.000000
7,133.000000
8,41.000000
9,7.000000
10,2.000000
11,21.000000
12,63.000000
13,79.000000
14,79.000000
15,79.000000
16,79.000000
17,79.000000
18,21.000000
19,1.000000
20,117.000000
21,2.000000
22,2.000000
23,5.000000
24,13.000000
25,8.000000
26,8.000000
27,8.000000
28,8.000000
29,90.000000
30,302.000000
31,182.000000
32,39.000000
33,74.000000
34,150.000000
35,24.000000
36,65.000000
37,14.000000
38,64.000000
39,31.000000
40,59.000000
41,122.000000
42,80.000000
43,132.000000
44,61.000000
45,19.000000
46,13.000000
47,25.000000
48,1.000000
49,1.000000
50,86.000000
51,8.000000
52,8.000000
53,7.000000
54,76.000000
55,39.000000
56,39.000000
57,13.000000
58,244.000000
59,142.000000
60,230.000000
61,230.000000
62,25.000000
63,80.000000
64,18.000000
65,18.000000
66,3.000000
67,3.000000
68,3.000000
69,3.000000
70,3.000000
71,145.000000
72,4.000000
73,4.000000
74,4.000000
75,8.000000
76,4.000000
77,4.000000
78,24.000000
79,4.000000
80,8.000000
81,12.000000
82,214.000000
83,16.000000
84,98.000000
85,14.000000
86,13.000000
87,19.000000
88,5.000000
89,1.000000
90,6.000000
91,95.000000
92,1.000000
93,1.000000
94,1.000000
95,1.000000
96,1.000000
97,1.000000
98,12.000000
99,45.000000
100,45.000000
101,45.000000
102,45.000000
103,45.000000
104,29.000000
105,86.000000
106,14.000000
107,24.000000
108,13.000000
109,30.000000
110,58.000000
111,74.000000
112,23.000000
113,2.000000
114,47.000000
115,3.000000
116,23.000000
117,23.000000
118,29.000000
119,1.000000
120,1.000000
121,9.000000
122,9.000000
123,9.000000
124,1.000000
125,5.000000
126,29.000000
127,7.000000
128,70.000000
129,70.000000
130,8.000000
131,8.000000
132,5.000000
133,6.000000
134,39.000000
135,39.000000
136,6.000000
137,56.000000
138,56.000000
139,6.000000
140,71.000000
141,2.000000
142,1.000000
143,79.000000
144,140.000000
145,199.000000
146,199.000000
147,1.000000
148,1.000000
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,1.000000
155,19.000000
156,34.000000
157,34.000000
158,6.000000
159,6.000000
160,157.000000
161,157.000000
162,157.000000
163,8.000000
164,15.000000
165,15.000000
166,15.000000
167,15.000000
168,4.000000
169,4.000000
170,4.000000
171,2.000000
172,1.000000
173,1.000000
174,1.000000
175,46.000000
176,46.000000
177,7.000000
178,2.000000
179,24.000000
180,24.000000
181,24.000000
182,81.000000
183,1.000000
184,34.000000
185,8.000000
186,8.000000
187,8.000000
188,8.000000
189,8.000000
190,317.000000
191,41.000000
192,16.000000
193,4.000000
194,272.000000
195,16.000000
196,249.000000
197,5.000000
198,59.000000
199,59.000000
200,7.000000
201,6.000000
202,1.000000
203,119.000000
204,119.000000
205,9.000000
206,3.000000
207,149.000000
208,1.000000
209,1.000000
210,1.000000
211,22.000000
212,3.000000
213,3.000000
214,72.000000
215,72.000000
216,65.000000
217,65.000000
218,1.000000
219,1.000000
220,238.000000
221,238.000000
222,238.000000
223,238.000000
224,14.000000
225,14.000000
226,39.000000
227,12.000000
228,21.000000
229,196.000000
230,156.000000
231,37.000000
232,7.000000
233,7.000000
234,4.000000
235,24.000000
236,158.000000
237,5.000000
238,5.000000
239,5.000000
240,77.000000
241,77.000000
242,16.000000
243,35.000000
244,21.000000
245,51.000000
246,8.000000
247,76.000000
248,76.000000
249,6.000000
250,33.000000
251,33.000000
252,32.000000
253,9.000000
254,9.000000
255,183.000000
256,9.000000
257,41.000000
258,20.000000
259,3.000000
260,3.000000
261,3.000000
262,8.000000
263,20.000000
264,72.000000
265,1.000000
266,1.000000
267,1.000000
268,1.000000
269,1.000000
270,117.000000
271,64.000000
272,64.000000
273,28.000000
274,38.000000
275,41.000000
276,2.000000
277,2.000000
278,2.000000
279,2.000000
280,4.000000
281,35.000000
282,35.000000
283,35.000000
284,35.000000
285,81.000000
286,587.000000
287,79.000000
288,79.000000
289,79.000000
290,79.000000
291,3.000000
292,3.000000
293,5.000000
294,5.000000
295,12.000000
296,4.000000
297,2.000000
298,2.000000
299,2.000000
300,2.000000
301,2.000000
302,6.000000
303,6.000000
304,6.000000
305,2.000000
306,3.000000
307,112.000000
308,6.000000
309,6.000000
310,6.000000
311,2.000000
312,2.000000
313,2.000000
314,57.000000
315,57.000000
316,57.000000
317,57.000000
318,57.000000
319,57.000000
320,29.000000
321,29.000000
322,269.000000
323,269.000000
324,57.000000
325,57.000000
326,15.000000
327,2.000000
328,62.000000
329,62.000000
330,3.000000
331,230.000000
332,2.000000
333,1.000000
334,135.000000
335,1.000000
336,11.000000
337,11.000000
338,11.000000
339,11.000000
340,11.000000
341,24.000000
342,4.000000
343,3.000000
344,3.000000
345,4.000000
346,31.000000
347,31.000000
348,112.000000
349,112.000000
350,227.000000
351,15.000000
352,15.000000
353,28.000000
354,28.000000
355,28.000000
356,18.000000
357,18.000000
358,18.000000
359,2.000000
360,2.000000
361,1.000000
362,1.000000
363,11.000000
364,25.000000
365,1.000000
366,6.000000
367,16.000000
368,2.000000
369,2.000000
370,2.000000
371,23.000000
372,4.000000
373,6.000000
374,66.000000
375,1.000000
376,1.000000
377,1.000000
378,34.000000
379,34.000000
380,11.000000
381,45.000000
382,45.000000
383,45.000000
384,45.000000
385,45.000000
386,7.000000
387,2.000000
388,2.000000
389,2.000000
390,81.000000
391,81.000000
392,4.000000
393,31.000000
394,17.000000
395,47.000000
396,3.000000
397,9.000000
398,37.000000
399,37.000000
400,37.000000
401,96.000000
402,12.000000
403,18.000000
404,18.000000
405,18.000000
406,1.000000
407,1.000000
408,743.000000
409,50.000000
410,164.000000
411,2.000000
412,12.000000
413,6.000000
414,54.000000
415,54.000000
416,41.000000
417,1.000000
418,2.000000
419,4.000000
420,5.000000
421,17.000000
422,3.000000
423,3.000000
424,27.000000
425,32.000000
426,2.000000
427,28.000000
428,123.000000
429,105.000000
430,264.000000
431,1.000000
432,50.000000
433,68.000000
434,34.000000
435,7.000000
436,7.000000
437,6.000000
438,90.000000
439,165.000000
440,165.000000
441,26.000000
442,4.000000
443,36.000000
444,36.000000
445,36.000000
446,16.000000
447,13.000000
448,5.000000
449,1.000000
450,9.000000
451,9.000000
452,9.000000
453,22.000000
454,46.000000
455,80.000000
456,80.000000
457,30.000000
458,30.000000
459,110.000000
460,27.000000
461,42.000000
462,42.000000
463,5.000000
464,11.000000
465,6.000000
466,6.000000
467,4.000000
468,60.000000
469,138.000000
470,7.000000
471,5.000000
472,19.000000
473,33.000000
474,2.000000
475,74.000000
476,5.000000
477,88.000000
478,60.000000
479,20.000000
480,62.000000
481,13.000000
482,135.000000
483,472.000000
484,2.000000
485,39.000000
486,13.000000
487,43.000000
488,43.000000
489,43.000000
490,9.000000
491,2.000000
492,107.000000
493,35.000000
494,22.000000
495,79.000000
496,33.000000
497,1.000000
498,5.000000
499,5.000000
500,45.000000
501,2.000000
502,124.000000
503,8.000000
504,20.000000
505,31.000000
506,65.000000
507,9.000000
508,290.000000
509,290.000000
510,2.000000
511,181.000000
512,12.000000
513,12.000000
514,30.000000
515,22.000000
516,22.000000
517,462.000000
518,4.000000
519,14.000000
520,17.000000
521,35.000000
522,35.000000
523,3.000000
524,1.000000
525,1.000000
526,1.000000
527,12.000000
528,12.000000
529,12.000000
530,2.000000
531,26.000000
532,26.000000
533,157.000000
534,210.000000
535,3.000000
536,99.000000
537,2.000000
538,244.000000
539,28.000000
540,42.000000
541,8.000000
542,46.000000
543,87.000000
544,102.000000
545,30.000000
546,355.000000
547,15.000000
548,80.000000
549,50.000000
550,12.000000
551,12.000000
552,12.000000
553,1.000000
554,3.000000
555,5.000000
556,5.000000
557,2.000000
558,9.000000
559,66.000000
560,66.000000
561,4.000000
562,6.000000
563,25.000000
564,70.000000
565,93.000000
566,4.000000
567,34.000000
568,5.000000
569,5.000000
570,19.000000
571,45.000000
572,18.000000
573,7.000000
574,3.000000
575,68.000000
576,16.000000
577,67.000000
578,67.000000
579,141.000000
580,141.000000
581,141.000000
582,141.000000
583,2.000000
584,43.000000
585,10.000000
586,73.000000
587,16.000000
588,16.000000
589,47.000000
590,16.000000
591,1.000000
592,8.000000
593,1.000000
594,3.000000
595,3.000000
596,3.000000
597,36.000000
598,36.000000
599,1.000000
600,1.000000
601,9.000000
602,9.000000
603,2.000000
604,2.000000
605,2.000000
606,2.000000
607,13.000000
608,9.000000
609,9.000000
610,9.000000
611,34.000000
612,2.000000
613,2.000000
614,56.000000
615,56.000000
616,36.000000
617,66.000000
618,16.000000
619,88.000000
620,88.000000
621,88.000000
622,10.000000
