node,value
-1,0.239715
0,0.003511
1,0.002782
2,0.002411
3,0.002868
4,0.002645
5,0.002684
6,0.000134
7,0.003133
8,0.000099
9,0.002499
10,0.002375
11,0.002538
12,0.000189
13,0.002772
14,0.002465
15,0.002478
16,0.000104
17,0.002410
18,0.002400
19,0.002552
20,0.002307
21,0.002427
22,0.002352
23,0.002867
24,0.002544
25,0.003218
26,0.002554
27,0.002418
28,0.002470
29,0.002376
30,0.002489
31,0.002279
32,0.002448
33,0.002518
34,0.002237
35,0.002428
36,0.002932
37,0.002533
38,0.002834
39,0.002775
40,0.002805
41,0.002672
42,0.002870
43,0.003011
44,0.002980
45,0.002869
46,0.002944
47,0.002497
48,0.002412
49,0.002458
50,0.002604
51,0.002380
52,0.002283
53,0.002374
54,0.002443
55,0.002743
56,0.002327
57,0.002236
58,0.002223
59,0.002760
60,0.002676
61,0.002802
62,0.002751
63,0.002208
64,0.002551
65,0.002731
66,0.002565
67,0.002402
68,0.002742
69,0.002184
70,0.002514
71,0.002371
72,0.000051
73,0.002884
74,0.002573
75,0.002600
76,0.002182
77,0.002285
78,0.002312
79,0.002268
80,0.002320
81,0.002426
82,0.002227
83,0.002534
84,0.002332
85,0.002362
86,0.002543
87,0.002315
88,0.000059
89,0.002396
90,0.002417
91,0.002515
92,0.002387
93,0.002672
94,0.002295
95,0.002258
96,0.002550
97,0.002756
98,0.002454
99,0.002291
