node,value
-1,6.179646
0,0.249409
1,0.171607
2,0.001954
3,0.000142
4,0.174919
5,0.162672
6,0.126042
7,0.120111
8,0.142599
9,0.170734
10,0.191694
11,0.012746
12,0.000178
13,0.000101
14,0.210986
15,0.241491
16,0.000797
17,0.000075
18,0.000069
19,0.234781
20,0.004368
21,0.000223
22,0.000089
23,0.000099
24,0.000101
25,0.000091
26,0.000095
27,0.000089
28,0.000091
29,0.000090
30,0.000085
31,0.252218
32,0.001121
33,0.287047
34,0.002072
35,0.000143
36,0.000114
37,0.000110
38,0.000113
39,0.000111
40,0.000114
41,0.231980
42,0.005109
43,0.169201
44,0.000824
45,0.000078
46,0.153607
47,0.002404
48,0.000102
49,0.000086
50,0.000094
51,0.000081
52,0.135348
53,0.154440
54,0.158049
55,0.001149
56,0.000134
57,0.000115
58,0.000112
59,0.000111
60,0.165376
61,0.154324
62,0.160416
63,0.167435
64,0.136984
65,0.158953
66,0.118510
67,0.126549
68,0.121317
69,0.000969
70,0.180449
71,0.000857
72,0.000099
73,0.000087
74,0.127933
75,0.000923
76,0.000094
77,0.000090
78,0.174621
79,0.000954
80,0.195269
81,0.000816
82,0.000094
83,0.000071
84,0.000069
85,0.000073
86,0.000069
87,0.188081
88,0.001180
89,0.000116
90,0.220761
91,0.000779
92,0.000078
93,0.000069
94,0.000068
95,0.000071
96,0.000070
97,0.000070
98,0.000078
99,0.000087
