node,value
-1,0.768589
0,0.010775
1,0.006338
2,0.006364
3,0.006052
4,0.007161
5,0.006431
6,0.006707
7,0.006938
8,0.006427
9,0.006499
10,0.009750
11,0.006581
12,0.010424
13,0.007679
14,0.006854
15,0.006757
16,0.006466
17,0.006717
18,0.006388
19,0.006370
20,0.006352
21,0.006810
22,0.006755
23,0.007287
24,0.006000
25,0.007525
26,0.010324
27,0.006659
28,0.006194
29,0.010321
30,0.006259
31,0.006195
32,0.006544
33,0.006998
34,0.006595
35,0.016504
36,0.007797
37,0.005058
38,0.005489
39,0.005946
40,0.006953
41,0.006279
42,0.007134
43,0.029559
44,0.021165
45,0.010810
46,0.009437
47,0.011374
48,0.009437
49,0.010098
50,0.010624
51,0.010124
52,0.009140
53,0.009358
54,0.010680
55,0.006845
56,0.007494
57,0.007489
58,0.005298
59,0.007400
60,0.006119
61,0.005592
62,0.006247
63,0.007199
64,0.007539
65,0.005945
66,0.006107
67,0.005727
68,0.005803
69,0.006034
70,0.006198
71,0.006464
72,0.007772
73,0.009807
74,0.006565
75,0.005971
76,0.006788
77,0.005905
78,0.010302
79,0.007010
80,0.006052
81,0.006688
82,0.006692
83,0.009083
84,0.006021
85,0.006465
86,0.006744
87,0.007476
88,0.006071
89,0.005919
90,0.006984
91,0.009404
92,0.006641
93,0.005947
94,0.005811
95,0.005893
96,0.006153
97,0.005846
98,0.009260
99,0.006351
