node,value
-1,0.749492
0,0.013956
1,0.007005
2,0.006726
3,0.006783
4,0.007331
5,0.007163
6,0.006679
7,0.006480
8,0.006507
9,0.006861
10,0.007278
11,0.007803
12,0.006887
13,0.007314
14,0.007244
15,0.006654
16,0.006781
17,0.007417
18,0.006697
19,0.006673
20,0.006628
21,0.023489
22,0.007296
23,0.019733
24,0.006897
25,0.006884
26,0.006968
27,0.007427
28,0.006986
29,0.006924
30,0.006985
31,0.006819
32,0.007015
33,0.006801
34,0.006726
35,0.006467
36,0.006708
37,0.006346
38,0.006590
39,0.005737
40,0.006516
41,0.044489
42,0.017763
43,0.006587
44,0.006625
45,0.006908
46,0.007196
47,0.007664
48,0.007399
49,0.006489
50,0.006858
51,0.007404
52,0.006526
53,0.007140
54,0.007323
55,0.006805
56,0.006740
57,0.007482
58,0.007366
59,0.007425
60,0.006813
61,0.006708
62,0.006868
63,0.006067
64,0.006714
65,0.005434
66,0.006302
67,0.005901
68,0.006545
69,0.006663
70,0.007234
71,0.006926
72,0.006215
73,0.006028
74,0.006326
75,0.006901
76,0.005979
77,0.006248
78,0.009361
79,0.006832
80,0.006119
81,0.006692
82,0.005995
83,0.006496
84,0.006455
85,0.006589
86,0.005983
87,0.007050
88,0.006661
89,0.005933
90,0.005236
91,0.005478
92,0.005637
93,0.004779
94,0.005365
95,0.004729
96,0.005513
97,0.005472
98,0.005564
99,0.005302
