node,value
-1,0.252612
0,0.006234
1,0.000203
2,0.004047
3,0.003342
4,0.003342
5,0.000869
6,0.002883
7,0.002260
8,0.001994
9,0.002371
10,0.002031
11,0.002696
12,0.003575
13,0.003136
14,0.000162
15,0.000085
16,0.000084
17,0.000083
18,0.003660
19,0.004378
20,0.003995
21,0.004581
22,0.000392
23,0.004184
24,0.003387
25,0.003796
26,0.003327
27,0.000125
28,0.000090
29,0.003853
30,0.003255
31,0.003004
32,0.003486
33,0.003977
34,0.003647
35,0.003381
36,0.003547
37,0.004287
38,0.004079
39,0.002610
40,0.002166
41,0.002364
42,0.002199
43,0.002428
44,0.002108
45,0.002539
46,0.002302
47,0.002738
48,0.002530
49,0.000122
50,0.002469
51,0.003797
52,0.003858
53,0.004873
54,0.004471
55,0.005012
56,0.000299
57,0.004853
58,0.005041
59,0.005124
60,0.004937
61,0.000231
62,0.003713
63,0.003343
64,0.003713
65,0.000106
66,0.002516
67,0.000090
68,0.000085
69,0.000069
70,0.000069
71,0.002916
72,0.004538
73,0.000109
74,0.000086
75,0.003095
76,0.002385
77,0.000090
78,0.002422
79,0.002114
80,0.002481
81,0.002394
82,0.002667
83,0.002435
84,0.002255
85,0.002360
86,0.002590
87,0.002489
88,0.002561
89,0.000094
90,0.003359
91,0.004507
92,0.003470
93,0.000261
94,0.000104
95,0.000209
96,0.000364
97,0.000261
98,0.005021
99,0.004357
